Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	gamma	speciation_rates[1]	total_speciation	turnover
51	1	-40.90648	-45.8982	4.99172	0.05958632	0.112283	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.00438499	0.008952338	0.0595863	0.05958632	0.07359059
52	0	-40.15931	-44.55279	4.393486	0.09198423	0.08072177	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.0214293	0.001349366	0.0919842	0.09198423	0.2329667
53	1	-40.16152	-45.30501	5.143494	0.05958632	0.1027198	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.00168939	0.003338121	0.0595863	0.05958632	0.02835204
54	0	-39.4145	-44.11348	4.698986	0.09198423	0.05063006	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0212425	0.0008910541	0.0919842	0.09198423	0.2309363
55	1	-38.84674	-44.63465	5.787905	0.05958632	0.03749241	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.00278732	0.004124439	0.0595863	0.05958632	0.04677786
56	0	-41.29608	-45.93118	4.635098	0.09198423	0.05766623	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0441672	0.0002437126	0.0919842	0.09198423	0.4801609
57	1	-39.42998	-44.60529	5.175307	0.07381988	0.05751617	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.0153628	0.001871631	0.0738199	0.07381988	0.2081126
58	0	-44.32127	-48.75791	4.436635	0.09642693	0.06390737	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.0656795	0.000274756	0.0964269	0.09642693	0.6811326
59	1	-38.74475	-43.96507	5.220318	0.07985526	0.03436178	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.013074	0.002084598	0.0798553	0.07985526	0.1637213
60	0	-41.94205	-45.71467	3.772617	0.1301909	0.02662871	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0724442	0.0007937719	0.130191	0.1301909	0.5564459
