Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
51	1	-148.2366	-158.5139	10.27723	0.005746435	0.001783921	0.1182285	0.01408338	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.0740708	0.004742326	0.118228	0.00574644	0.00178392	0.1257588	0.5889911
52	0	-146.8497	-159.8286	12.97886	0.003618954	0.0004656702	0.05831559	0.02257635	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.000411297	0.0002929165	0.0583156	0.00361895	0.00046567	0.06240022	0.006591283
53	1	-148.5104	-160.4335	11.92309	0.008797277	0.002485017	0.07812912	0.006899184	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.0341337	0.004646192	0.0781291	0.00879728	0.00248502	0.08941141	0.3817599
54	0	-146.9612	-159.9755	13.01436	0.001454747	0.007922904	0.05292409	0.01950277	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.00577375	0.0002424897	0.0529241	0.00145475	0.0079229	0.06230174	0.09267396
55	1	-151.8843	-163.0986	11.21431	0.01777893	0.03043619	0.05823249	0.004159426	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.0621238	0.00453372	0.0582325	0.0177789	0.0304362	0.1064476	0.5836096
56	0	-149.389	-162.0954	12.70632	0.005523025	0.01783873	0.04810501	0.01064791	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0064948	0.0002363551	0.048105	0.00552303	0.0178387	0.07146676	0.09087859
57	1	-149.2649	-161.9381	12.67328	0.001521718	0.01810475	0.05035687	0.008020659	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.0139136	0.01258826	0.0503569	0.00152172	0.0181047	0.06998333	0.1988133
58	0	-148.9812	-162.3733	13.39209	0.002988642	0.0102035	0.03923028	0.02416254	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000192436	0.000566305	0.0392303	0.00298864	0.0102035	0.05242242	0.003670878
59	1	-149.0663	-161.0568	11.99047	0.01175524	0.008525046	0.06716098	0.01053154	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.0274661	0.002802727	0.067161	0.0117552	0.00852505	0.08744126	0.3141086
60	0	-149.8157	-163.0828	13.26717	0.01699933	0.005591156	0.0352238	0.01284189	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.00434911	0.001043573	0.0352238	0.0169993	0.00559116	0.05781428	0.07522548
