Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	gamma	speciation_rates[1]	total_speciation	turnover
44	0	-135.2834	-134.8031	-0.4803005	0.1481975	0.03013985	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.0762367	0.03923541	0.148197	0.1481975	0.5144262
45	1	-134.5087	-135.5979	1.089247	0.1214722	0.04290699	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0563986	0.0215925	0.121472	0.1214722	0.4642927
46	0	-134.9434	-134.1908	-0.7525968	0.1481975	0.02696242	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.0815339	0.06964247	0.148197	0.1481975	0.5501707
47	1	-134.2782	-136.4873	2.209077	0.1007306	0.04110623	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.0375229	0.02943908	0.100731	0.1007306	0.3725077
48	0	-135.2516	-134.7502	-0.5014041	0.1481975	0.02134977	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.0814272	0.05013585	0.148197	0.1481975	0.5494503
49	1	-136.0265	-137.6252	1.598758	0.1007306	0.02727336	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.0269225	0.1043039	0.100731	0.1007306	0.2672727
50	0	-134.8444	-134.1945	-0.6498907	0.1481975	0.03378661	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.0836213	0.05254768	0.148197	0.1481975	0.5642559
51	1	-133.8943	-135.9439	2.049619	0.1007306	0.03882556	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.0209834	0.04766556	0.100731	0.1007306	0.2083126
52	0	-134.694	-134.0683	-0.6257533	0.1481975	0.05764661	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.074988	0.02627393	0.148197	0.1481975	0.5060005
53	1	-134.1204	-136.2951	2.174639	0.1007306	0.03672509	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.0201919	0.03726399	0.100731	0.1007306	0.2004545
54	0	-133.6484	-134.6721	1.023725	0.114538	0.0928627	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0444553	0.0176474	0.114538	0.114538	0.3881274
55	1	-135.1267	-137.5628	2.436108	0.08120893	0.04995835	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.0106699	0.1089705	0.0812089	0.08120893	0.131388
56	0	-134.5092	-136.036	1.526822	0.114538	0.04016629	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.0438785	0.02003408	0.114538	0.114538	0.3830915
57	1	-134.1845	-137.5945	3.410018	0.08120893	0.03854966	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.0077417	0.02298818	0.0812089	0.08120893	0.09533064
58	0	-133.678	-134.7729	1.094908	0.114538	0.07610268	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.040452	0.02728907	0.114538	0.114538	0.3531751
