Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
54	0	-95.27113	-100.2593	4.98815	0.1630897	0.003401944	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0551342	0.0002563907	0.16309	0.1630897	0.3380604
55	1	-97.16912	-101.7664	4.597263	0.192143	0.003668707	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.113231	0.0004669232	0.192143	0.192143	0.5893052
56	0	-95.47403	-100.149	4.674979	0.1863078	0.003961383	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0785444	0.0001575993	0.186308	0.1863078	0.4215838
57	1	-96.06522	-100.5137	4.448439	0.2034957	0.003818334	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0844546	0.0001121301	0.203496	0.2034957	0.4150189
58	0	-95.84387	-100.5002	4.656353	0.1863078	0.005939124	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	0.0627184	4.242313e-05	0.186308	0.1863078	0.3366388
59	1	-95.81899	-100.2664	4.447408	0.2034957	0.003982645	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	0.106272	5.092269e-05	0.203496	0.2034957	0.5222307
60	0	-97.16703	-101.2518	4.084813	0.230319	0.004421902	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.103978	0.0002234081	0.230319	0.230319	0.4514501
61	1	-96.23048	-100.6228	4.392345	0.208268	0.003049147	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.115727	0.0001484571	0.208268	0.208268	0.5556647
62	0	-96.93072	-101.0439	4.113216	0.230319	0.001722159	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	0.12522	8.286583e-05	0.230319	0.230319	0.5436805
63	1	-96.73817	-101.136	4.397872	0.208268	0.002595607	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	0.0837663	4.930938e-05	0.208268	0.208268	0.4022043
64	0	-95.96237	-101.6127	5.650337	0.1145325	0.001867929	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.012525	0.000103539	0.114532	0.1145325	0.1093577
65	1	-95.9929	-100.386	4.393134	0.208268	0.003068002	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	0.0977082	5.071856e-05	0.208268	0.208268	0.4691463
66	0	-96.2146	-101.8665	5.651889	0.1145325	0.001744685	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	0.0146326	7.164088e-05	0.114532	0.1145325	0.1277592
67	1	-96.45538	-100.8431	4.387712	0.208268	0.003637561	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	0.122482	2.338693e-05	0.208268	0.208268	0.5880988
