Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	total_speciation	turnover
48	0	-32.229	-39.23755	7.008545	0.02602214	0.003817515	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.00136813	0.0005081021	0.0260221	0.02602214	0.0525757
49	1	-33.32377	-39.46374	6.139969	0.03872145	0.004033769	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.00219241	0.0004168168	0.0387215	0.03872145	0.05662007
50	0	-32.43389	-39.86662	7.432738	0.01998678	0.001509064	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.000245036	0.001616997	0.0199868	0.01998678	0.01225991
51	1	-31.32807	-37.67503	6.346958	0.03607837	0.001252305	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.00424617	0.0005508145	0.0360784	0.03607837	0.1176929
52	0	-34.71937	-39.36496	4.645595	0.06099895	0.001111175	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0270439	0.0006279308	0.060999	0.06099895	0.4433501
53	1	-32.94899	-38.42467	5.475678	0.04888384	0.001183067	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0150633	0.0002904541	0.0488838	0.04888384	0.308145
54	0	-33.75318	-39.99558	6.242398	0.03743198	0.002106646	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0197271	0.0009077912	0.037432	0.03743198	0.5270118
55	1	-31.85835	-38.3191	6.460751	0.03446417	0.001170707	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.012703	0.000277643	0.0344642	0.03446417	0.3685848
56	0	-33.33808	-39.95642	6.618347	0.03162684	0.003795164	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.0088949	0.001271824	0.0316268	0.03162684	0.2812452
57	1	-35.77098	-40.14196	4.37098	0.06480133	0.002702232	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.0428196	0.000529271	0.0648013	0.06480133	0.6607822
