Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	gamma	speciation_rates[1]	total_speciation	turnover
59	3	-153.1507	-157.8227	4.671979	0.08071263	0.02022122	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0285563	0.0005513602	0.0807126	0.08071263	0.3538018
60	0	-153.843	-159.0095	5.166471	0.06750441	0.02741739	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.00711167	0.001069173	0.0675044	0.06750441	0.1053512
61	1	-153.8951	-159.5214	5.626316	0.0590896	0.01708333	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.00574405	0.001836724	0.0590896	0.0590896	0.09720923
62	2	-154.8391	-159.6847	4.845653	0.07265903	0.03187006	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.01706	0.006389817	0.072659	0.07265903	0.2347955
63	3	-153.2123	-157.9389	4.726586	0.07858194	0.02433495	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0236669	0.0001982181	0.0785819	0.07858194	0.3011742
64	0	-154.3319	-159.1328	4.80096	0.07454804	0.03326002	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.0178633	0.001293844	0.074548	0.07454804	0.2396208
65	1	-156.3576	-161.5608	5.203256	0.06160604	0.04181934	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.0100758	0.008515938	0.061606	0.06160604	0.1635524
66	2	-157.3392	-162.0587	4.719473	0.07265903	0.01274616	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.0159802	0.03813173	0.072659	0.07265903	0.219934
67	3	-153.3501	-158.6157	5.265551	0.06698164	0.02014777	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0164159	0.0006932035	0.0669816	0.06698164	0.245081
68	0	-153.9494	-159.4046	5.455199	0.06069982	0.02565278	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00607102	0.00341018	0.0606998	0.06069982	0.1000171
