Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	total_speciation	turnover
52	0	-35.28605	-36.37968	1.093632	0.06515008	0.1312078	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.0010642	0.282227	0.0651501	0.06515008	0.01633464
53	1	-37.49349	-35.71153	-1.781958	0.07304259	0.2754962	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.0214619	0.3854825	0.0730426	0.07304259	0.2938268
54	0	-33.64862	-35.48252	1.833908	0.06515008	0.1996956	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.0301801	0.1397116	0.0651501	0.06515008	0.4632396
55	1	-32.60882	-35.11636	2.507544	0.05829735	0.1352841	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.0186107	0.1715028	0.0582974	0.05829735	0.3192372
56	0	-36.70683	-38.15994	1.453112	0.0982306	0.1783471	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.0806105	0.03142088	0.0982306	0.0982306	0.8206249
57	1	-38.44655	-40.71154	2.26499	0.1098861	0.05403542	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.0238905	0.01545123	0.109886	0.1098861	0.2174116
58	0	-31.04251	-35.3288	4.286291	0.05699461	0.09780956	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.00407132	0.03770767	0.0569946	0.05699461	0.07143343
59	1	-30.414	-35.32291	4.90891	0.04243427	0.139297	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.000686538	0.007779477	0.0424343	0.04243427	0.01617885
60	0	-32.81523	-35.14776	2.332522	0.05699461	0.2221164	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.0167061	0.1087777	0.0569946	0.05699461	0.2931177
61	1	-33.04973	-37.85274	4.803012	0.03313848	0.1410629	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.0138543	0.06373325	0.0331385	0.03313848	0.418073
62	0	-34.40043	-35.05363	0.6532004	0.07114089	0.2482387	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.0212664	0.1788657	0.0711409	0.07114089	0.2989331
63	1	-32.27465	-34.81234	2.537692	0.06218746	0.1486556	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.00382978	0.1353937	0.0621875	0.06218746	0.06158443
64	0	-30.74847	-35.3743	4.625825	0.03678703	0.1251713	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.000596044	0.07884526	0.036787	0.03678703	0.01620255
65	1	-32.3381	-34.48726	2.149157	0.04806478	0.1852965	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.00117051	0.2092086	0.0480648	0.04806478	0.02435285
