Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
45	1	-91.91969	-102.4252	10.50554	0.002170452	0.004757306	0.1304993	0.002674896	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0482227	0.0007501551	0.130499	0.00217045	0.00475731	0.137427	0.3508971
46	0	-90.74902	-101.2214	10.47238	0.001064497	0.001087772	0.1356778	0.005047879	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.00136241	0.001157432	0.135678	0.0010645	0.00108777	0.13783	0.009884692
47	1	-92.22147	-103.0833	10.86179	0.002110335	0.003605044	0.1027264	0.002379693	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.00980733	0.003941298	0.102726	0.00211034	0.00360504	0.1084418	0.09043867
48	0	-91.75246	-102.0974	10.34498	0.004770933	0.009752828	0.1356778	0.00176127	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.0287726	0.000742571	0.135678	0.00477093	0.00975283	0.1502015	0.19156
49	1	-92.95521	-103.6861	10.73089	0.00575203	0.008891044	0.1027264	0.002807495	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.000783855	0.004738192	0.102726	0.00575203	0.00889104	0.1173694	0.006678529
50	0	-92.80026	-103.1144	10.31418	0.004143025	0.01173512	0.1356778	0.003401627	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0499541	0.0003823628	0.135678	0.00414303	0.0117351	0.1515559	0.3296085
51	1	-92.5251	-102.7454	10.2203	0.002167443	0.008891044	0.1437885	0.003671925	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.0392541	0.005125939	0.143788	0.00216744	0.00889104	0.154847	0.2535025
52	0	-90.80079	-101.2246	10.42377	0.001132136	0.005134453	0.1356778	0.005329637	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.038394	0.0002686157	0.135678	0.00113214	0.00513445	0.1419443	0.2704862
53	1	-93.17634	-103.4856	10.30927	0.00974738	0.00630716	0.1353832	0.003590647	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0420894	0.0008414372	0.135383	0.00974738	0.00630716	0.1514377	0.2779322
54	0	-93.5824	-104.2545	10.67211	0.008019973	0.0008797672	0.1129916	0.00714348	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0273522	0.0002711613	0.112992	0.00801997	0.000879767	0.1218913	0.224398
