Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
45	1	-50.34466	-61.29125	10.94659	0.001471705	0.0003581809	0.09587193	0.00842477	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.0482718	0.004756748	0.0958719	0.0014717	0.000358181	0.09770181	0.4940727
46	0	-55.51942	-66.82513	11.30571	0.00899489	0.02046565	0.06153674	0.01335788	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.0422147	0.003396687	0.0615367	0.00899489	0.0204657	0.09099729	0.4639119
47	1	-50.83111	-61.69476	10.86365	0.0001451439	0.003237584	0.09587193	0.002540288	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.0538152	0.009790584	0.0958719	0.000145144	0.00323758	0.09925465	0.5421929
48	0	-49.71381	-62.47953	12.76572	0.004675551	0.0009846682	0.06153674	0.007916908	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.014719	0.0030021	0.0615367	0.00467555	0.000984668	0.06719696	0.219043
49	1	-49.6006	-60.51385	10.91325	0.002933567	0.0002702128	0.09587193	0.002120752	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.04871	0.006303843	0.0958719	0.00293357	0.000270213	0.09907571	0.491644
50	0	-47.43627	-60.60595	13.16968	0.0001943026	0.0007037537	0.05969818	0.00447798	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.00107877	0.004918868	0.0596982	0.000194303	0.000703754	0.06059623	0.01780261
51	1	-53.1516	-65.46009	12.3085	0.02241657	0.002194843	0.05139592	0.001136196	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.013075	0.003619353	0.0513959	0.0224166	0.00219484	0.07600733	0.1720226
52	0	-50.3467	-61.79036	11.44366	0.001317294	0.002122918	0.08605664	0.007592055	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.024453	0.00420354	0.0860566	0.00131729	0.00212292	0.08949685	0.2732274
53	1	-50.39175	-64.12536	13.73361	0.006954636	0.002371013	0.0418392	0.001747056	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.00101286	0.006800459	0.0418392	0.00695464	0.00237101	0.05116485	0.01979596
54	0	-51.84537	-63.04244	11.19707	0.007762937	0.0003001777	0.08605664	0.007286253	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.0199906	0.001943525	0.0860566	0.00776294	0.000300178	0.09411976	0.2123955
55	1	-53.27277	-66.68066	13.40789	0.01132662	0.004898368	0.04111798	0.003143487	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.0203124	0.001591502	0.041118	0.0113266	0.00489837	0.05734296	0.3542272
56	0	-50.01232	-60.54527	10.53296	0.005979534	0.0005571869	0.09971713	0.002283906	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.063056	0.001896228	0.0997171	0.00597953	0.000557187	0.1062538	0.5934464
57	1	-52.21784	-65.53242	13.31458	0.003837236	0.01272223	0.0419314	0.003704159	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.0117326	0.003602157	0.0419314	0.00383724	0.0127222	0.05849086	0.2005894
58	0	-48.19953	-61.82489	13.62536	0.002657743	0.0007104693	0.05039474	0.002354747	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.0138845	0.001716749	0.0503947	0.00265774	0.000710469	0.05376295	0.2582542
