Iteration	Replicate_ID	Posterior	Likelihood	Prior	clado_fission	clado_fusion	clado_no_change	delta	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	gamma	speciation_rates[1]	speciation_rates[2]	speciation_rates[3]	total_speciation	turnover
43	1	-24.19729	-35.59358	11.3963	0.002618658	0.06669275	0.00434269	0.02309729	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.00899123	0.1021414	0.00434269	0.00261866	0.0666928	0.0736541	0.1220737
44	0	-25.04073	-34.73929	9.698562	0.04799531	0.003594991	0.00400031	0.2572984	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.00917106	0.1292959	0.00400031	0.0479953	0.00359499	0.05559061	0.164975
45	1	-25.04911	-36.23396	11.18485	0.01340082	0.04973143	0.01031892	0.01398727	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.0406514	0.1334246	0.0103189	0.0134008	0.0497314	0.07345117	0.5534481
46	0	-23.47809	-34.59271	11.11462	0.008762668	0.04857316	0.002927969	0.1194132	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.00146336	0.1018823	0.00292797	0.00876267	0.0485732	0.0602638	0.02428256
47	1	-23.40565	-36.76217	13.35652	0.004628175	0.02157325	0.01422343	0.01876863	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.00585492	0.07892049	0.0142234	0.00462817	0.0215732	0.04042485	0.1448347
48	0	-23.04396	-34.5099	11.46594	0.003005672	0.04990642	0.0009691103	0.1295548	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.00686072	0.0889686	0.00096911	0.00300567	0.0499064	0.0538812	0.1273306
49	1	-23.96953	-34.8312	10.86167	0.0009275466	0.02826301	0.02292704	0.157194	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.0115393	0.1306976	0.022927	0.000927547	0.028263	0.0521176	0.2214087
50	0	-24.85484	-34.93012	10.07528	0.01699345	0.04269203	0.007201956	0.1625605	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.00230745	0.1290873	0.00720196	0.0169935	0.042692	0.06688744	0.03449753
51	1	-24.4276	-36.21828	11.79068	0.02612241	0.01893383	0.02733809	0.07870752	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.00145663	0.01347959	0.0273381	0.0261224	0.0189338	0.07239432	0.02012079
52	0	-24.10037	-34.65677	10.5564	0.01877662	0.03670268	0.007201956	0.1214337	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.00753881	0.1434273	0.00720196	0.0187766	0.0367027	0.06268126	0.1202722
53	1	-27.62057	-36.9969	9.376331	0.02656977	0.04210206	0.04050045	0.1250566	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.0836851	0.02210084	0.0405004	0.0265698	0.0421021	0.1091723	0.7665413
54	0	-23.11425	-34.79768	11.68343	0.03154916	0.01459438	0.008711184	0.1033758	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.00819712	0.08846271	0.00871118	0.0315492	0.0145944	0.05485472	0.1494333
55	1	-23.33436	-34.95446	11.6201	0.01236694	0.04210206	0.01174411	0.1070209	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.0153327	0.03356337	0.0117441	0.0123669	0.0421021	0.06621311	0.2315652
56	0	-25.02707	-36.6812	11.65413	0.006338806	0.02107737	0.0352455	0.108323	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.0377502	0.04686407	0.0352455	0.00633881	0.0210774	0.06266167	0.6024449
57	1	-25.00937	-35.09253	10.08316	0.02737026	0.01761462	0.02620237	0.109598	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.0102104	0.1594612	0.0262024	0.0273703	0.0176146	0.07118726	0.1434308
